value,created_at,lat,lon,ele
15,2019-03-21 07:26:14 UTC,,,
15,2019-03-21 07:27:14 UTC,,,
15,2019-03-21 07:28:14 UTC,,,
15,2019-03-21 07:29:14 UTC,,,
15,2019-03-21 07:30:14 UTC,,,
15,2019-03-21 07:31:14 UTC,,,
15,2019-03-21 07:32:14 UTC,,,
15,2019-03-21 07:33:14 UTC,,,
15,2019-03-21 07:34:14 UTC,,,
15,2019-03-21 07:35:14 UTC,,,
15,2019-03-21 07:36:14 UTC,,,
15,2019-03-21 07:37:14 UTC,,,
15,2019-03-21 07:38:14 UTC,,,
15,2019-03-21 07:39:14 UTC,,,
,2019-03-21 07:40:14 UTC,,,
,2019-03-21 07:41:14 UTC,,,
,2019-03-21 07:42:14 UTC,,,
,2019-03-21 07:43:14 UTC,,,
,2019-03-21 07:44:14 UTC,,,
,2019-03-21 07:45:14 UTC,,,
,2019-03-21 07:46:14 UTC,,,
,2019-03-21 07:47:14 UTC,,,
,2019-03-21 07:48:14 UTC,,,
,2019-03-21 07:49:14 UTC,,,
,2019-03-21 07:50:14 UTC,,,
,2019-03-21 07:51:14 UTC,,,
,2019-03-21 07:52:14 UTC,,,
,2019-03-21 07:53:14 UTC,,,
,2019-03-21 07:54:14 UTC,,,
,2019-03-21 07:55:14 UTC,,,
,2019-03-21 07:56:14 UTC,,,
,2019-03-21 07:57:14 UTC,,,
,2019-03-21 07:58:14 UTC,,,
,2019-03-21 07:59:14 UTC,,,
,2019-03-21 08:00:14 UTC,,,
,2019-03-21 08:01:15 UTC,,,
,2019-03-21 08:02:15 UTC,,,
,2019-03-21 08:03:15 UTC,,,
,2019-03-21 08:04:15 UTC,,,
,2019-03-21 08:05:15 UTC,,,
,2019-03-21 08:06:15 UTC,,,
,2019-03-21 08:07:15 UTC,,,
,2019-03-21 08:08:15 UTC,,,
,2019-03-21 08:09:15 UTC,,,
,2019-03-21 08:10:15 UTC,,,
,2019-03-21 08:11:15 UTC,,,
,2019-03-21 08:12:15 UTC,,,
,2019-03-21 08:13:15 UTC,,,
,2019-03-21 08:14:15 UTC,,,
,2019-03-21 08:15:15 UTC,,,
,2019-03-21 08:16:15 UTC,,,
,2019-03-21 08:17:15 UTC,,,
,2019-03-21 08:18:15 UTC,,,
,2019-03-21 08:19:15 UTC,,,
,2019-03-21 08:20:15 UTC,,,
,2019-03-21 08:21:15 UTC,,,
,2019-03-21 08:22:15 UTC,,,
,2019-03-21 08:23:15 UTC,,,
,2019-03-21 08:24:15 UTC,,,
,2019-03-21 08:25:15 UTC,,,
,2019-03-21 08:26:15 UTC,,,
,2019-03-21 08:27:15 UTC,,,
,2019-03-21 08:28:15 UTC,,,
,2019-03-21 08:29:15 UTC,,,
,2019-03-21 08:30:15 UTC,,,
,2019-03-21 08:31:15 UTC,,,
,2019-03-21 08:32:15 UTC,,,
,2019-03-21 08:33:15 UTC,,,
,2019-03-21 08:34:15 UTC,,,
,2019-03-21 08:35:15 UTC,,,
,2019-03-21 08:36:15 UTC,,,
,2019-03-21 08:37:15 UTC,,,
,2019-03-21 08:38:15 UTC,,,
,2019-03-21 08:39:15 UTC,,,
,2019-03-21 08:40:16 UTC,,,
,2019-03-21 08:41:16 UTC,,,
,2019-03-21 08:42:16 UTC,,,
