id,value,feed_id,created_at,lat,lon,ele
0E407GTW330WQGCEKS2Z6JSS8B,nan,1026841,2019-03-20 12:37:08 UTC,,,
0E407GW2V8CKNYJDA6S66SSP56,nan,1026841,2019-03-20 12:37:12 UTC,,,
0E407GXA8A3KJZV1QGS3RNSTVX,nan,1026841,2019-03-20 12:37:16 UTC,,,
0E407GYHEYYDWCATT3ST93QCZZ,nan,1026841,2019-03-20 12:37:20 UTC,,,
0E407GZR7P7SB94630B76ZRMVP,nan,1026841,2019-03-20 12:37:24 UTC,,,
0E407H105HXCB3EE8GYXDJV21A,nan,1026841,2019-03-20 12:37:28 UTC,,,
0E407H26X7VEH4FEXX97FB8PRK,nan,1026841,2019-03-20 12:37:32 UTC,,,
0E407H3F2K8AN8SV18D1S0B4PQ,nan,1026841,2019-03-20 12:37:36 UTC,,,
0E407H4NGMKQKF5J8Y4HX6D22Z,nan,1026841,2019-03-20 12:37:40 UTC,,,
0E407H5X0FVWKHX22CQ0CM0978,nan,1026841,2019-03-20 12:37:44 UTC,,,
0E407H74V5NA9JN3ESZTQFVW4A,nan,1026841,2019-03-20 12:37:48 UTC,,,
0E407H8BBNHTRH6CMV267HYZ66,nan,1026841,2019-03-20 12:37:52 UTC,,,
0E407H9JZKTC515CA1YH97K7S7,nan,1026841,2019-03-20 12:37:56 UTC,,,
0E407HASYF2BVV56020QJPFBR6,nan,1026841,2019-03-20 12:38:00 UTC,,,
0E407HC19AQX2B0BFCWRQANGGK,nan,1026841,2019-03-20 12:38:04 UTC,,,
0E407HDRAVT3BFFB17FE7SB9X4,nan,1026841,2019-03-20 12:38:10 UTC,,,
0E407HEFT5K0XKZQK68E554ADB,nan,1026841,2019-03-20 12:38:12 UTC,,,
0E407HFQ3D8K422A9C3P1B332S,nan,1026841,2019-03-20 12:38:16 UTC,,,
0E407HGYAWSX4FYESD2ESFPE2D,nan,1026841,2019-03-20 12:38:20 UTC,,,
0E407HJ5S066T8YWSC9SX3J01Z,nan,1026841,2019-03-20 12:38:24 UTC,,,
0E407HKCN5CV53MH9WQV1VH5BA,nan,1026841,2019-03-20 12:38:28 UTC,,,
0E407HMM3PPBXY70KDMC3Q8MKY,nan,1026841,2019-03-20 12:38:32 UTC,,,
0E407HNV2EHRC7H7SNK4CH3W79,nan,1026841,2019-03-20 12:38:36 UTC,,,
0E407HQ3758607SVW4VMCTYYSD,nan,1026841,2019-03-20 12:38:40 UTC,,,
0E407HRA2NVRVX9KBNMPPGY7R6,nan,1026841,2019-03-20 12:38:44 UTC,,,
0E407HSJCZWWVPDJP2MR6S3RTD,nan,1026841,2019-03-20 12:38:48 UTC,,,
0E407HTRG105F2QC6KZCJ2PZF5,nan,1026841,2019-03-20 12:38:52 UTC,,,
0E407HVZJHPWHE77BRT87TQ0RR,nan,1026841,2019-03-20 12:38:56 UTC,,,
0E407HX7505KC16ARAWPNH2M24,nan,1026841,2019-03-20 12:39:00 UTC,,,
0E407HYDW8JE9SJCWGRQCHSQB4,nan,1026841,2019-03-20 12:39:04 UTC,,,
0E407HZN17ZTKSK1T2VQZKM99X,nan,1026841,2019-03-20 12:39:08 UTC,,,
0E407J0WEK1GC4C0TY642Q0H86,nan,1026841,2019-03-20 12:39:12 UTC,,,
0E407J24AVCRY0851NRN9N049K,nan,1026841,2019-03-20 12:39:16 UTC,,,
0E407J3B9RXWR7AXC4JJ69BCY0,nan,1026841,2019-03-20 12:39:20 UTC,,,
0E407J4JF3M324FPATB8MCYT5V,nan,1026841,2019-03-20 12:39:24 UTC,,,
0E407J5SPS9AVBWG7BKV1P5A80,nan,1026841,2019-03-20 12:39:28 UTC,,,
0E407J70P8AYC8PAA8B4X15S03,nan,1026841,2019-03-20 12:39:32 UTC,,,
0E407J887JVQVZWNJMZGFA7P9S,nan,1026841,2019-03-20 12:39:36 UTC,,,
0E407J9FCCZ8NYBZXTMGDK8373,nan,1026841,2019-03-20 12:39:40 UTC,,,
0E407JAPVX9PAD9XMA8J6MM2ZQ,nan,1026841,2019-03-20 12:39:44 UTC,,,
0E407JBXT1S1H88ESQQSK9SABJ,nan,1026841,2019-03-20 12:39:48 UTC,,,
0E407JD5EM2P5GPS2MJPWMVMTT,nan,1026841,2019-03-20 12:39:52 UTC,,,
0E407JECMB9JXQHNWM5BM256HW,nan,1026841,2019-03-20 12:39:56 UTC,,,
0E407JFKJW018Z41G9T4X90V5J,nan,1026841,2019-03-20 12:40:00 UTC,,,
0E407JGVX8P02GZT2RDW6869MV,nan,1026841,2019-03-20 12:40:05 UTC,,,
0E407JJ2D51GZ5048978555XSJ,nan,1026841,2019-03-20 12:40:09 UTC,,,
0E407JKAAYWA7RWZ4EEA3YZRJ7,nan,1026841,2019-03-20 12:40:13 UTC,,,
0E407JMGVSVJ5GDDX8JPMKBHV4,nan,1026841,2019-03-20 12:40:17 UTC,,,
0E407JNREPYJ3JW99VHXZKRRYT,nan,1026841,2019-03-20 12:40:21 UTC,,,
0E407JPZW1B6252MY2BSBWCWXP,nan,1026841,2019-03-20 12:40:25 UTC,,,
0E407JSJSFTXJCDRXKEYW0QFSP,nan,1026841,2019-03-20 12:40:33 UTC,,,
0E407JTTEER2TY57ZN0HRBH87Y,nan,1026841,2019-03-20 12:40:37 UTC,,,
0E407JW21YVZ6BRFPG3B74508T,nan,1026841,2019-03-20 12:40:41 UTC,,,
0E407JX8YGX3Y4N3983H5JNF36,nan,1026841,2019-03-20 12:40:45 UTC,,,
0E407JYGA8D8JSJG47WWE63FTJ,nan,1026841,2019-03-20 12:40:49 UTC,,,
0E407JZQ61B0VPVSD9GNH7HWKP,nan,1026841,2019-03-20 12:40:53 UTC,,,
0E407K0YQX4SYBKS5VHAMX9GY7,nan,1026841,2019-03-20 12:40:57 UTC,,,
0E407K2698FBA0Y2XSDEJ0A9XE,nan,1026841,2019-03-20 12:41:01 UTC,,,
0E407K3DXXQKHK0731GS1AVDH2,nan,1026841,2019-03-20 12:41:05 UTC,,,
0E407K4MHJTA96P8WN6ER3X8E1,31.00,1026841,2019-03-20 12:41:09 UTC,,,
0E407K5W52307S88AZTNG3M88Y,31.00,1026841,2019-03-20 12:41:13 UTC,,,
0E407K736WE2Q0TYCP3176CAXS,31.00,1026841,2019-03-20 12:41:17 UTC,,,
0E407K8A2J9N3F8MH1817X00NP,31.00,1026841,2019-03-20 12:41:21 UTC,,,
0E407K9HYF0633E55K3WA3CG9X,31.00,1026841,2019-03-20 12:41:25 UTC,,,
0E407KAS3V3PZA580H9B4MMF89,31.00,1026841,2019-03-20 12:41:29 UTC,,,
0E407KC08FKCXY6N6W07EW6DYB,31.00,1026841,2019-03-20 12:41:33 UTC,,,
0E407KD8FGREH957DV5VNA44BG,31.00,1026841,2019-03-20 12:41:38 UTC,,,
0E407KEF261ZDH07PV5PXP0MB7,31.00,1026841,2019-03-20 12:41:42 UTC,,,
0E407KFPDCWJEHMMARWHP62PZB,31.00,1026841,2019-03-20 12:41:46 UTC,,,
0E407KGX98YCXZPW2PSZGCMP9J,31.00,1026841,2019-03-20 12:41:50 UTC,,,
0E407KJ4TY6P81QEFDD7QFV28F,31.00,1026841,2019-03-20 12:41:54 UTC,,,
0E407KKBWGCAP2HZESQ9VC6XY5,31.00,1026841,2019-03-20 12:41:58 UTC,,,
0E407KMKHJ5TF69BYTY1TBT9XG,31.00,1026841,2019-03-20 12:42:02 UTC,,,
0E407KNVJTKTHQEKB0Y9086TBV,31.00,1026841,2019-03-20 12:42:06 UTC,,,
0E407KQ1YRSJBVN1MBCAMYDXGN,31.00,1026841,2019-03-20 12:42:10 UTC,,,
0E407KRADJFJE4P07M7WG9BDJZ,31.00,1026841,2019-03-20 12:42:14 UTC,,,
0E407KSGBZJBYMFSGR02M4NT43,31.00,1026841,2019-03-20 12:42:18 UTC,,,
0E407KTRDT552EPYZ2G85HYB2D,31.00,1026841,2019-03-20 12:42:22 UTC,,,
0E407KVZ8GCPDCJX07NCS56QJA,31.00,1026841,2019-03-20 12:42:26 UTC,,,
0E407KX6QVDDX7TAH84A1DW9JS,31.00,1026841,2019-03-20 12:42:30 UTC,,,
0E407M1BCBAE2BBKRKW7XS3WNV,31.00,1026841,2019-03-20 12:42:43 UTC,,,
0E407M2NCXD452B65BSN7DYC1K,31.00,1026841,2019-03-20 12:42:48 UTC,,,
0E407M3T2X12W8RMS3MZ86J346,31.00,1026841,2019-03-20 12:42:51 UTC,,,
0E407M51MY3D52R4GDDWEC3TV3,31.00,1026841,2019-03-20 12:42:56 UTC,,,
0E407M692WDZSFZR0DT2VDFF8S,31.00,1026841,2019-03-20 12:43:00 UTC,,,
0E407M7G23F7232DHT9SA9DGZB,31.00,1026841,2019-03-20 12:43:04 UTC,,,
0E40800QHTMXES7P8CKXE0VZNT,31.00,1026841,2019-03-20 13:03:40 UTC,,,
0E40801Z4Z60ZN5FG8XC48Q4ZE,30.00,1026841,2019-03-20 13:03:44 UTC,,,
0E408036FB68KDZ4Z5AK08VC0B,30.00,1026841,2019-03-20 13:03:48 UTC,,,
0E40804DFXNVEWEC1A06Y81MSB,30.00,1026841,2019-03-20 13:03:52 UTC,,,
0E40805N2CX39MQN7QNFEQXFVN,30.00,1026841,2019-03-20 13:03:56 UTC,,,
0E40806XEVCGT07ZWBPP9MQA5R,30.00,1026841,2019-03-20 13:04:00 UTC,,,
0E408083E258ABPQ9JYHEYJG1M,30.00,1026841,2019-03-20 13:04:04 UTC,,,
0E40809B97D6GVB4N5Y0PYTP26,30.00,1026841,2019-03-20 13:04:08 UTC,,,
0E4080AJAVBQ4JD1JTG86NEZDV,30.00,1026841,2019-03-20 13:04:12 UTC,,,
0E4080BSDAW0R7E7GQENS1FTXH,30.00,1026841,2019-03-20 13:04:16 UTC,,,
0E4080D0ETNSJYSV7BEP5ZVQ12,30.00,1026841,2019-03-20 13:04:20 UTC,,,
0E4080E8B2F7GW07DAX8J9BYJ2,30.00,1026841,2019-03-20 13:04:24 UTC,,,
0E4080FFSDBBPTHYQ3VN2JQHAB,30.00,1026841,2019-03-20 13:04:28 UTC,,,
0E4085E3V4C7M6SMDYV4E5NN5G,30.00,1026841,2019-03-20 13:13:08 UTC,,,
0E4085EDD89Q7G5V5275045BEW,30.00,1026841,2019-03-20 13:13:09 UTC,,,
0E4085EDFD9M0HCB9K2BWXZFQ7,30.00,1026841,2019-03-20 13:13:09 UTC,,,
0E4085EDGD71F5EJRCAA4T1K0Q,31.00,1026841,2019-03-20 13:13:09 UTC,,,
0E4085EDKF9NQE2DVA0K268AK4,30.00,1026841,2019-03-20 13:13:09 UTC,,,
0E4085EDKW7ENRT5MKFE50JN1T,30.00,1026841,2019-03-20 13:13:09 UTC,,,
0E4085EDNV0Y3DQ88RQGFZY2NE,30.00,1026841,2019-03-20 13:13:09 UTC,,,
0E4085EDQCAMXGXC9A0DCBW77E,30.00,1026841,2019-03-20 13:13:09 UTC,,,
0E4085EGV3Z8A8XCC4QTHCNQN5,30.00,1026841,2019-03-20 13:13:09 UTC,,,
0E4085EGVZB19BZTYKC8GYF2GF,30.00,1026841,2019-03-20 13:13:09 UTC,,,
0E4085EGYNB2X6JBFCT74QHNAP,30.00,1026841,2019-03-20 13:13:09 UTC,,,
